1754006400000000,17485886.00000000,17501232.00000000,17268929.00000000,17425368.00000000,5.54506100,1754009999999999,96553069.02705600,1114,3.60721200,62827092.70414700,0
1754010000000000,17420818.00000000,17458750.00000000,17305437.00000000,17424696.00000000,4.24268700,1754013599999999,73761901.91911300,1088,2.49430800,43379486.07795800,0
1754013600000000,17424695.00000000,17520537.00000000,17411925.00000000,17513542.00000000,3.15955800,1754017199999999,55218519.64196900,583,0.97227200,16995108.81506900,0
1754017200000000,17516720.00000000,17522047.00000000,17446048.00000000,17451449.00000000,5.09778200,1754020799999999,89208777.49055300,753,3.45514000,60467064.51231000,0
1754020800000000,17451563.00000000,17469572.00000000,17402005.00000000,17469145.00000000,6.84187800,1754024399999999,119358365.01149900,540,4.82502900,84182338.94519000,0
1754024400000000,17466111.00000000,17500092.00000000,17411314.00000000,17428930.00000000,9.07905000,1754027999999999,158481531.68303500,905,4.83038900,84329225.19482200,0
1754028000000000,17429034.00000000,17445461.00000000,17365168.00000000,17380819.00000000,8.25072700,1754031599999999,143472898.59212600,941,3.69512100,64238847.21122100,0
1754031600000000,17380809.00000000,17398411.00000000,17288630.00000000,17351271.00000000,3.36995600,1754035199999999,58429377.61074800,504,1.46349200,25374253.62574900,0
1754035200000000,17344787.00000000,17344787.00000000,17210497.00000000,17288908.00000000,3.40708600,1754038799999999,58855768.77033700,798,1.70555900,29450812.37487300,0
1754038800000000,17287684.00000000,17381883.00000000,17281701.00000000,17315881.00000000,1.75618400,1754042399999999,30459859.31877800,355,0.70911800,12296001.61955000,0
1754042400000000,17326106.00000000,17355942.00000000,17260497.00000000,17263764.00000000,2.30756600,1754045999999999,39909466.61290900,452,1.43704500,24847957.47800400,0
1754046000000000,17263764.00000000,17377260.00000000,17248844.00000000,17377231.00000000,2.15813700,1754049599999999,37328044.52837700,440,1.03754000,17923912.08094200,0
1754049600000000,17377231.00000000,17407445.00000000,17240293.00000000,17244960.00000000,5.82487400,1754053199999999,100968669.52858700,944,3.95852000,68608986.74464200,0
1754053200000000,17241236.00000000,17241236.00000000,16957428.00000000,16977115.00000000,11.66424500,1754056799999999,199646341.16881200,1887,5.95521500,102014160.18936500,0
1754056800000000,16978480.00000000,17204799.00000000,16883748.00000000,17155955.00000000,13.05987400,1754060399999999,222835947.23111800,2277,6.50250000,111023190.28002700,0
1754060400000000,17157100.00000000,17161572.00000000,17000001.00000000,17109221.00000000,6.42054000,1754063999999999,109408241.73067800,922,4.38369900,74664960.74133700,0
1754064000000000,17109720.00000000,17152873.00000000,17013130.00000000,17036788.00000000,1.46317200,1754067599999999,25005419.51952900,403,0.59109200,10101399.46591300,0
1754067600000000,17038643.00000000,17053623.00000000,16947058.00000000,16950051.00000000,1.17162700,1754071199999999,19908041.01836900,440,0.59678500,10143585.46173300,0
1754071200000000,16957544.00000000,16965311.00000000,16843630.00000000,16861826.00000000,2.43694500,1754074799999999,41154100.46423400,624,1.29644000,21897216.16572600,0
1754074800000000,16856560.00000000,16870721.00000000,16720623.00000000,16734412.00000000,3.38871600,1754078399999999,56870469.60732900,869,1.85173700,31082343.96487300,0
